Depth (cm),year,z_d15N,z_chla,z_P,z_Zn,Z_Cd,z_S.cons,mean
0,2021.04,1.992103479,2.597660062,1.271586818,0.879950296,1.245704793,1.099482742,1.514414698
1,2014.55,1.891685372,1.692550449,1.2454153,1.205447201,1.382974468,1.080630792,1.416450597
2,2005.23,2.007552419,1.97487545,1.37627289,1.459776775,1.640943262,1.064315478,1.587289379
3,1997.21,1.966355246,1.566820903,1.454787444,1.205447201,1.273833824,1.099016767,1.427710231
4,1986.84,1.726896684,1.318319108,1.428615926,1.205447201,1.164693181,1.019655891,1.310604665
5,1964.39,0.882354655,0.583865737,-0.508076402,0.616473453,-0.265623675,1.087713003,0.399451129
6,1931.98,-0.294339573,-0.296350093,-0.508076402,0.230274953,-0.389469585,0.863554095,-0.065734434
7,1916.73,-0.415356266,-0.520511212,-0.508076402,-0.263185703,-0.586816908,0.109522398,-0.364070682
8,1910.092734,-0.479726848,-0.556941481,-0.612762473,-0.720190995,-0.791333939,-0.411644981,-0.595433453
9,1879.731084,-0.533798136,-0.529455775,-0.612762473,-0.80260441,-0.783866603,-0.011418306,-0.545650951
10,1845.706634,-0.510624727,-0.537774561,-0.743620063,-0.869503856,-0.808808869,-0.798077547,-0.711401604
11,1808.019384,-0.654814829,-0.541225414,-0.751471519,-0.965018144,-0.769614842,-0.465192048,-0.691222799